codigo_cid,capitulo_cid
A401,Moléstias Infecciosas
A402,Moléstias Infecciosas
A403,Moléstias Infecciosas
A408,Moléstias Infecciosas
A409,Moléstias Infecciosas
A41,Moléstias Infecciosas
A410,Moléstias Infecciosas
A411,Moléstias Infecciosas
A412,Moléstias Infecciosas
A413,Moléstias Infecciosas
A414,Moléstias Infecciosas
A415,Moléstias Infecciosas
A418,Moléstias Infecciosas
A419,Moléstias Infecciosas
A42,Moléstias Infecciosas
A420,Moléstias Infecciosas
A421,Moléstias Infecciosas
A422,Moléstias Infecciosas
A427,Moléstias Infecciosas
A428,Moléstias Infecciosas
A429,Moléstias Infecciosas
A43,Moléstias Infecciosas
A430,Moléstias Infecciosas
A431,Moléstias Infecciosas
A438,Moléstias Infecciosas
A439,Moléstias Infecciosas
A44,Moléstias Infecciosas
A440,Moléstias Infecciosas
A441,Moléstias Infecciosas
A448,Moléstias Infecciosas
A449,Moléstias Infecciosas
A46,Moléstias Infecciosas
A48,Moléstias Infecciosas
A480,Moléstias Infecciosas
A481,Moléstias Infecciosas
A482,Moléstias Infecciosas
A483,Moléstias Infecciosas
A484,Moléstias Infecciosas
A488,Moléstias Infecciosas
A49,Moléstias Infecciosas
A490,Moléstias Infecciosas
A491,Moléstias Infecciosas
A492,Moléstias Infecciosas
A493,Moléstias Infecciosas
A498,Moléstias Infecciosas
A499,Moléstias Infecciosas
A50,Moléstias Infecciosas
A500,Moléstias Infecciosas
A501,Moléstias Infecciosas
A502,Moléstias Infecciosas
A503,Moléstias Infecciosas
A504,Moléstias Infecciosas
A505,Moléstias Infecciosas
A506,Moléstias Infecciosas
A507,Moléstias Infecciosas
A509,Moléstias Infecciosas
A51,Moléstias Infecciosas
A510,Moléstias Infecciosas
A511,Moléstias Infecciosas
A512,Moléstias Infecciosas
A513,Moléstias Infecciosas
A514,Moléstias Infecciosas
A515,Moléstias Infecciosas
A519,Moléstias Infecciosas
A52,Moléstias Infecciosas
A520,Moléstias Infecciosas
A521,Moléstias Infecciosas
A522,Moléstias Infecciosas
A523,Moléstias Infecciosas
A527,Moléstias Infecciosas
A528,Moléstias Infecciosas
A529,Moléstias Infecciosas
A53,Moléstias Infecciosas
A530,Moléstias Infecciosas
A539,Moléstias Infecciosas
A54,Moléstias Infecciosas
A540,Moléstias Infecciosas
A541,Moléstias Infecciosas
A542,Moléstias Infecciosas
A543,Moléstias Infecciosas
A544,Moléstias Infecciosas
A545,Moléstias Infecciosas
A546,Moléstias Infecciosas
A548,Moléstias Infecciosas
A549,Moléstias Infecciosas
A55,Moléstias Infecciosas
A56,Moléstias Infecciosas
A560,Moléstias Infecciosas
A561,Moléstias Infecciosas
A562,Moléstias Infecciosas
A563,Moléstias Infecciosas
A564,Moléstias Infecciosas
A568,Moléstias Infecciosas
A57,Moléstias Infecciosas
A58,Moléstias Infecciosas
A59,Moléstias Infecciosas
A590,Moléstias Infecciosas
A598,Moléstias Infecciosas
A599,Moléstias Infecciosas
A60,Moléstias Infecciosas
A600,Moléstias Infecciosas
A601,Moléstias Infecciosas
A609,Moléstias Infecciosas
A63,Moléstias Infecciosas
A630,Moléstias Infecciosas
A638,Moléstias Infecciosas
A64,Moléstias Infecciosas
A65,Moléstias Infecciosas
A66,Moléstias Infecciosas
A660,Moléstias Infecciosas
A661,Moléstias Infecciosas
A662,Moléstias Infecciosas
A663,Moléstias Infecciosas
A664,Moléstias Infecciosas
A665,Moléstias Infecciosas
A666,Moléstias Infecciosas
A667,Moléstias Infecciosas
A668,Moléstias Infecciosas
A669,Moléstias Infecciosas
A67,Moléstias Infecciosas
A670,Moléstias Infecciosas
A671,Moléstias Infecciosas
A672,Moléstias Infecciosas
A673,Moléstias Infecciosas
A679,Moléstias Infecciosas
A68,Moléstias Infecciosas
A680,Moléstias Infecciosas
A681,Moléstias Infecciosas
A689,Moléstias Infecciosas
A69,Moléstias Infecciosas
A690,Moléstias Infecciosas
A691,Moléstias Infecciosas
A692,Moléstias Infecciosas
A698,Moléstias Infecciosas
A699,Moléstias Infecciosas
A70,Moléstias Infecciosas
A71,Moléstias Infecciosas
A710,Moléstias Infecciosas
A711,Moléstias Infecciosas
A719,Moléstias Infecciosas
A74,Moléstias Infecciosas
A740,Moléstias Infecciosas
A748,Moléstias Infecciosas
A749,Moléstias Infecciosas
A75,Moléstias Infecciosas
A750,Moléstias Infecciosas
A751,Moléstias Infecciosas
A752,Moléstias Infecciosas
A753,Moléstias Infecciosas
A759,Moléstias Infecciosas
A77,Moléstias Infecciosas
A770,Moléstias Infecciosas
A771,Moléstias Infecciosas
A772,Moléstias Infecciosas
A773,Moléstias Infecciosas
A778,Moléstias Infecciosas
A779,Moléstias Infecciosas
A78,Moléstias Infecciosas
A79,Moléstias Infecciosas
A790,Moléstias Infecciosas
A791,Moléstias Infecciosas
A798,Moléstias Infecciosas
A799,Moléstias Infecciosas
A80,Moléstias Infecciosas
A800,Moléstias Infecciosas
A801,Moléstias Infecciosas
A802,Moléstias Infecciosas
A803,Moléstias Infecciosas
A804,Moléstias Infecciosas
A809,Moléstias Infecciosas
A81,Moléstias Infecciosas
A810,Moléstias Infecciosas
A811,Moléstias Infecciosas
A812,Moléstias Infecciosas
A818,Moléstias Infecciosas
A819,Moléstias Infecciosas
A82,Moléstias Infecciosas
A820,Moléstias Infecciosas
A821,Moléstias Infecciosas
A829,Moléstias Infecciosas
A83,Moléstias Infecciosas
A830,Moléstias Infecciosas
A831,Moléstias Infecciosas
A832,Moléstias Infecciosas
A833,Moléstias Infecciosas
A834,Moléstias Infecciosas
A835,Moléstias Infecciosas
A836,Moléstias Infecciosas
A838,Moléstias Infecciosas
A839,Moléstias Infecciosas
A84,Moléstias Infecciosas
A840,Moléstias Infecciosas
A841,Moléstias Infecciosas
A848,Moléstias Infecciosas
A849,Moléstias Infecciosas
A85,Moléstias Infecciosas
A850,Moléstias Infecciosas
A851,Moléstias Infecciosas
A852,Moléstias Infecciosas
A858,Moléstias Infecciosas
A86,Moléstias Infecciosas
A87,Moléstias Infecciosas
A870,Moléstias Infecciosas
A871,Moléstias Infecciosas
A872,Moléstias Infecciosas
A878,Moléstias Infecciosas
A879,Moléstias Infecciosas
A88,Moléstias Infecciosas
A880,Moléstias Infecciosas
A881,Moléstias Infecciosas
A888,Moléstias Infecciosas
A89,Moléstias Infecciosas
A90,Moléstias Infecciosas
A91,Moléstias Infecciosas
A92,Moléstias Infecciosas
A920,Moléstias Infecciosas
A921,Moléstias Infecciosas
A922,Moléstias Infecciosas
A923,Moléstias Infecciosas
A924,Moléstias Infecciosas
A928,Moléstias Infecciosas
A929,Moléstias Infecciosas
A93,Moléstias Infecciosas
A930,Moléstias Infecciosas
A931,Moléstias Infecciosas
A932,Moléstias Infecciosas
A938,Moléstias Infecciosas
A94,Moléstias Infecciosas
A95,Moléstias Infecciosas
A950,Moléstias Infecciosas
A951,Moléstias Infecciosas
A959,Moléstias Infecciosas
A96,Moléstias Infecciosas
A960,Moléstias Infecciosas
A961,Moléstias Infecciosas
A962,Moléstias Infecciosas
A968,Moléstias Infecciosas
A969,Moléstias Infecciosas
A98,Moléstias Infecciosas
A980,Moléstias Infecciosas
A981,Moléstias Infecciosas
A982,Moléstias Infecciosas
A983,Moléstias Infecciosas
A984,Moléstias Infecciosas
A985,Moléstias Infecciosas
A988,Moléstias Infecciosas
A99,Moléstias Infecciosas
B00,Moléstias Infecciosas
B000,Moléstias Infecciosas
B001,Moléstias Infecciosas
B002,Moléstias Infecciosas
B003,Moléstias Infecciosas
B004,Moléstias Infecciosas
B005,Moléstias Infecciosas
B007,Moléstias Infecciosas
B008,Moléstias Infecciosas
B009,Moléstias Infecciosas
B01,Moléstias Infecciosas
B010,Moléstias Infecciosas
B011,Moléstias Infecciosas
B012,Moléstias Infecciosas
B018,Moléstias Infecciosas
B019,Moléstias Infecciosas
B02,Moléstias Infecciosas
B020,Moléstias Infecciosas
B021,Moléstias Infecciosas
B022,Moléstias Infecciosas
B023,Moléstias Infecciosas
B027,Moléstias Infecciosas
B028,Moléstias Infecciosas
B029,Moléstias Infecciosas
B03,Moléstias Infecciosas
B04,Moléstias Infecciosas
B05,Moléstias Infecciosas
B050,Moléstias Infecciosas
B051,Moléstias Infecciosas
B052,Moléstias Infecciosas
B053,Moléstias Infecciosas
B054,Moléstias Infecciosas
B058,Moléstias Infecciosas
B059,Moléstias Infecciosas
B06,Moléstias Infecciosas
B060,Moléstias Infecciosas
B068,Moléstias Infecciosas
B069,Moléstias Infecciosas
B07,Moléstias Infecciosas
B08,Moléstias Infecciosas
B080,Moléstias Infecciosas
B081,Moléstias Infecciosas
B082,Moléstias Infecciosas
B083,Moléstias Infecciosas
B084,Moléstias Infecciosas
B085,Moléstias Infecciosas
B088,Moléstias Infecciosas
B09,Moléstias Infecciosas
B15,Moléstias Infecciosas
B150,Moléstias Infecciosas
B159,Moléstias Infecciosas
B16,Moléstias Infecciosas
B160,Moléstias Infecciosas
B161,Moléstias Infecciosas
B162,Moléstias Infecciosas
B169,Moléstias Infecciosas
B17,Moléstias Infecciosas
B170,Moléstias Infecciosas
B171,Moléstias Infecciosas
B172,Moléstias Infecciosas
B178,Moléstias Infecciosas
B18,Moléstias Infecciosas
B180,Moléstias Infecciosas
B181,Moléstias Infecciosas
B182,Moléstias Infecciosas
B188,Moléstias Infecciosas
B189,Moléstias Infecciosas
B19,Moléstias Infecciosas
B190,Moléstias Infecciosas
B199,Moléstias Infecciosas
B20,Moléstias Infecciosas
B200,Moléstias Infecciosas
B201,Moléstias Infecciosas
B202,Moléstias Infecciosas
B203,Moléstias Infecciosas
B204,Moléstias Infecciosas
B205,Moléstias Infecciosas
B206,Moléstias Infecciosas
B207,Moléstias Infecciosas
B208,Moléstias Infecciosas
B209,Moléstias Infecciosas
B21,Moléstias Infecciosas
B210,Moléstias Infecciosas
B211,Moléstias Infecciosas
B212,Moléstias Infecciosas
B213,Moléstias Infecciosas
B217,Moléstias Infecciosas
B218,Moléstias Infecciosas
B219,Moléstias Infecciosas
B22,Moléstias Infecciosas
B220,Moléstias Infecciosas
B221,Moléstias Infecciosas
B222,Moléstias Infecciosas
B227,Moléstias Infecciosas
B23,Moléstias Infecciosas
B230,Moléstias Infecciosas
B231,Moléstias Infecciosas
B232,Moléstias Infecciosas
B238,Moléstias Infecciosas
B24,Moléstias Infecciosas
B25,Moléstias Infecciosas
B250,Moléstias Infecciosas
B251,Moléstias Infecciosas
B252,Moléstias Infecciosas
B258,Moléstias Infecciosas
B259,Moléstias Infecciosas
B26,Moléstias Infecciosas
B260,Moléstias Infecciosas
B261,Moléstias Infecciosas
B262,Moléstias Infecciosas
B263,Moléstias Infecciosas
B268,Moléstias Infecciosas
B269,Moléstias Infecciosas
B27,Moléstias Infecciosas
B270,Moléstias Infecciosas
B271,Moléstias Infecciosas
B278,Moléstias Infecciosas
B279,Moléstias Infecciosas
B30,Moléstias Infecciosas
B300,Moléstias Infecciosas
B301,Moléstias Infecciosas
B302,Moléstias Infecciosas
B303,Moléstias Infecciosas
B308,Moléstias Infecciosas
B309,Moléstias Infecciosas
B33,Moléstias Infecciosas
B330,Moléstias Infecciosas
B331,Moléstias Infecciosas
B332,Moléstias Infecciosas
B333,Moléstias Infecciosas
B334,Moléstias Infecciosas
B338,Moléstias Infecciosas
B34,Moléstias Infecciosas
B340,Moléstias Infecciosas
B341,Moléstias Infecciosas
B342,Moléstias Infecciosas
B343,Moléstias Infecciosas
B344,Moléstias Infecciosas
B348,Moléstias Infecciosas
B349,Moléstias Infecciosas
B35,Moléstias Infecciosas
B350,Moléstias Infecciosas
B351,Moléstias Infecciosas
B352,Moléstias Infecciosas
B353,Moléstias Infecciosas
B354,Moléstias Infecciosas
B355,Moléstias Infecciosas
B356,Moléstias Infecciosas
B358,Moléstias Infecciosas
B359,Moléstias Infecciosas
B36,Moléstias Infecciosas
B360,Moléstias Infecciosas
B361,Moléstias Infecciosas
B362,Moléstias Infecciosas
B363,Moléstias Infecciosas
B368,Moléstias Infecciosas
B369,Moléstias Infecciosas
B37,Moléstias Infecciosas
B370,Moléstias Infecciosas
B371,Moléstias Infecciosas
B372,Moléstias Infecciosas
B373,Moléstias Infecciosas
B374,Moléstias Infecciosas
B375,Moléstias Infecciosas
B376,Moléstias Infecciosas
B377,Moléstias Infecciosas
B378,Moléstias Infecciosas
B379,Moléstias Infecciosas
B38,Moléstias Infecciosas
B380,Moléstias Infecciosas
B381,Moléstias Infecciosas
B382,Moléstias Infecciosas
B383,Moléstias Infecciosas
B384,Moléstias Infecciosas
B387,Moléstias Infecciosas
B388,Moléstias Infecciosas
B389,Moléstias Infecciosas
B39,Moléstias Infecciosas
B390,Moléstias Infecciosas
B391,Moléstias Infecciosas
B392,Moléstias Infecciosas
B393,Moléstias Infecciosas
B394,Moléstias Infecciosas
B395,Moléstias Infecciosas
B399,Moléstias Infecciosas
B40,Moléstias Infecciosas
B400,Moléstias Infecciosas
B401,Moléstias Infecciosas
B402,Moléstias Infecciosas
B403,Moléstias Infecciosas
B407,Moléstias Infecciosas
B408,Moléstias Infecciosas
B409,Moléstias Infecciosas
B41,Moléstias Infecciosas
B410,Moléstias Infecciosas
B417,Moléstias Infecciosas
B418,Moléstias Infecciosas
B419,Moléstias Infecciosas
B42,Moléstias Infecciosas
B420,Moléstias Infecciosas
B421,Moléstias Infecciosas
B427,Moléstias Infecciosas
B428,Moléstias Infecciosas
B429,Moléstias Infecciosas
B43,Moléstias Infecciosas
B430,Moléstias Infecciosas
B431,Moléstias Infecciosas
B432,Moléstias Infecciosas
B438,Moléstias Infecciosas
B439,Moléstias Infecciosas
B44,Moléstias Infecciosas
B440,Moléstias Infecciosas
B441,Moléstias Infecciosas
B442,Moléstias Infecciosas
B447,Moléstias Infecciosas
B448,Moléstias Infecciosas
B449,Moléstias Infecciosas
B45,Moléstias Infecciosas
B450,Moléstias Infecciosas
B451,Moléstias Infecciosas
B452,Moléstias Infecciosas
B453,Moléstias Infecciosas
B457,Moléstias Infecciosas
B458,Moléstias Infecciosas
B459,Moléstias Infecciosas
B46,Moléstias Infecciosas
B460,Moléstias Infecciosas
B461,Moléstias Infecciosas
B462,Moléstias Infecciosas
B463,Moléstias Infecciosas
B464,Moléstias Infecciosas
B465,Moléstias Infecciosas
B468,Moléstias Infecciosas
B469,Moléstias Infecciosas
B47,Moléstias Infecciosas
B470,Moléstias Infecciosas
B471,Moléstias Infecciosas
B479,Moléstias Infecciosas
B48,Moléstias Infecciosas
B480,Moléstias Infecciosas
B481,Moléstias Infecciosas
B482,Moléstias Infecciosas
B483,Moléstias Infecciosas
B484,Moléstias Infecciosas
B487,Moléstias Infecciosas
B488,Moléstias Infecciosas
B49,Moléstias Infecciosas
B50,Moléstias Infecciosas
B500,Moléstias Infecciosas
B508,Moléstias Infecciosas
B509,Moléstias Infecciosas
B51,Moléstias Infecciosas
B510,Moléstias Infecciosas
B518,Moléstias Infecciosas
B519,Moléstias Infecciosas
B52,Moléstias Infecciosas
B520,Moléstias Infecciosas
B528,Moléstias Infecciosas
B529,Moléstias Infecciosas
B53,Moléstias Infecciosas
B530,Moléstias Infecciosas
B531,Moléstias Infecciosas
B538,Moléstias Infecciosas
B54,Moléstias Infecciosas
